#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
280,TEE 2 (HXMXH O MXHXH),PCT-23-21502-T2-004,PCT-TEE-023,SI,,,,,
281,TEE 2 (HXMXH O MXHXH),PCT-23-21502-T2-005,PCT-TEE-024,SI,,,,,
282,TEE 2 (HXMXH O MXHXH),PCT-24-21502-T2-001,PCT-TEE-025,SI,,,,,
283,TEE 2 (HXMXH O MXHXH),PCT-24-21502-T2-002,PCT-TEE-026,SI,,,,,
284,TAPON,PCT-23-21502-P-001,PCT-PLG-007,NO,,,,,
285,TAPON,PCT-23-21502-P-002,PCT-PLG-008,NO,,,,,
286,TAPA,PCT-23-21502-C-002,PCT-CAP-008,NO,,,,,
287,TUBO,PCT-24-31502-1-001,PCT-PUP-0267,SI,,,,,
288,TUBO,PCT-24-31502-1-002,PCT-PUP-0268,SI,,,,,
289,TUBO,PCT-24-31502-1-003,PCT-PUP-0269,SI,,,,,
290,TUBO,PCT-24-31502-1-004,PCT-PUP-0270,SI,,,,,
291,TUBO,PCT-24-31502-1-005,PCT-PUP-0271,SI,,,,,
292,TUBO,PCT-24-31502-1-006,PCT-PUP-0272,SI,,,,,
293,TUBO,PCT-24-31502-1-007,PCT-PUP-0273,SI,,,,,
294,TUBO,PCT-24-31502-1-008,PCT-PUP-0274,SI,,,,,
295,TUBO,PCT-24-31502-1-009,PCT-PUP-0275,SI,,,,,
296,TUBO,PCT-24-31502-1-010,PCT-PUP-0276,SI,,,,,
297,TUBO,PCT-24-31502-2-001,PCT-PUP-0277,SI,,,,,
298,TUBO,PCT-24-31502-2-002,PCT-PUP-0278,SI,,,,,
299,TUBO,PCT-24-31502-2-003,PCT-PUP-0279,SI,,,,,
300,TUBO,PCT-24-31502-2-004,PCT-PUP-0280,SI,,,,,
301,TUBO,PCT-24-31502-2-005,PCT-PUP-0281,SI,,,,,
302,TUBO,PCT-24-31502-2-006,PCT-PUP-0282,SI,,,,,
303,TUBO,PCT-24-31502-2-007,PCT-PUP-0283,SI,,,,,
304,TUBO,PCT-24-31502-2-008,PCT-PUP-0284,SI,,,,,
305,TUBO,PCT-24-31502-2-009,PCT-PUP-0285,SI,,,,,
306,TUBO,PCT-24-31502-2-010,PCT-PUP-0286,SI,,,,,
307,TUBO,PCT-24-31502-3-001,PCT-PUP-0287,SI,,,,,
308,TUBO,PCT-24-31502-3-002,PCT-PUP-0288,SI,,,,,
309,TUBO,PCT-24-31502-3-003,PCT-PUP-0289,SI,,,,,
310,TUBO,PCT-24-31502-3-004,PCT-PUP-0290,SI,,,,,
311,TUBO,PCT-24-31502-3-005,PCT-PUP-0291,SI,,,,,
312,TUBO,PCT-24-31502-3-006,PCT-PUP-0292,SI,,,,,
313,TUBO,PCT-24-31502-3-007,PCT-PUP-0293,SI,,,,,
314,TUBO,PCT-24-31502-3-008,PCT-PUP-0294,SI,,,,,
315,TUBO,PCT-24-31502-3-009,PCT-PUP-0295,SI,,,,,
316,TUBO,PCT-24-31502-3-010,PCT-PUP-0296,SI,,,,,
317,TUBO,PCT-24-31502-5-001,PCT-PUP-0297,SI,,,,,
